id,name
814,filter_tilt_shift
815,emoji_people
816,ac_unit
817,g_translate
818,local_cafe
819,commute
820,hdr_on
821,screen_share
822,image_aspect_ratio
823,help_outline
824,crop_portrait
825,where_to_vote
826,tag_faces
827,filter_1
828,skip_next
829,amp_stories
830,voice_chat
831,signal_cellular_connected_no_internet_0_bar
832,brightness_high
833,format_align_justify
834,thumb_down
835,ondemand_video
836,autorenew
837,enhanced_encryption
838,sports_volleyball
839,atm
840,headset
841,av_timer
842,account_balance
843,replay
844,format_align_right
845,multiline_chart
846,local_florist
847,tap_and_play
848,fullscreen_exit
849,remove_from_queue
850,border_all
851,gamepad
852,filter_4
853,settings_bluetooth
854,phonelink_ring
855,zoom_in
856,search
857,trip_origin
858,work_outline
859,keyboard_arrow_right
860,explore
861,border_vertical
862,leak_remove
863,live_help
864,settings_overscan
865,panorama_horizontal
866,filter_6
867,maximize
868,power_input
869,movie_creation
870,clear_all
871,subtitles
872,inbox
873,notification_important
874,airplanemode_active
875,storefront
876,lens
877,work
878,send
879,file_upload
880,work_off
881,flight
882,ev_station
883,exposure_neg_2
884,missed_video_call
885,desktop_windows
886,reorder
887,fitness_center
888,settings_input_composite
889,power_off
890,camera_alt
891,border_inner
892,call_split
893,build
894,rotate_90_degrees_ccw
895,link_off
896,hd
897,group_add
898,view_module
899,bubble_chart
900,turned_in_not
901,signal_wifi_4_bar_lock
902,print_disabled
903,domain_disabled
904,post_add
905,call_end
906,bluetooth_searching
907,important_devices
908,rate_review
909,functions
910,filter_5
911,record_voice_over
912,weekend
913,fullscreen
914,arrow_right
915,dehaze
916,brightness_medium
917,folder
918,call_to_action
919,flip_to_back
920,backspace
921,signal_cellular_no_sim
922,slideshow
923,pool
924,volume_off
925,phone_disabled
926,mail_outline
927,cast
928,local_dining
929,insert_emoticon
930,fastfood
931,text_rotation_angledown
932,clear
933,hourglass_empty
934,signal_cellular_alt
935,network_locked
936,confirmation_number
937,star
938,phone_forwarded
939,archive
940,cell_wifi
941,spa
942,double_arrow
943,bug_report
944,photo_library
945,vertical_align_center
946,restore_from_trash
947,recent_actors
948,how_to_reg
949,strikethrough_s
950,pause_circle_filled
951,launch
952,photo
953,view_array
954,space_bar
955,dns
956,phone_callback
957,find_replace
958,drafts
959,stop
960,broken_image
961,rss_feed
962,change_history
963,toys
964,subdirectory_arrow_right
965,dvr
966,timer_10
967,ballot
968,lock_open
969,transfer_within_a_station
970,sports_hockey
971,child_friendly
972,mic_none
973,view_comfy
974,monochrome_photos
975,shop
976,copyright
977,contact_support
978,check
979,person_add
980,sms
981,fiber_manual_record
982,threed_rotation
983,usb
984,all_inbox
985,music_off
986,folder_open
987,arrow_drop_down_circle
988,local_pizza
989,local_hospital
990,keyboard_arrow_up
991,perm_scan_wifi
992,local_drink
993,no_sim
994,indeterminate_check_box
995,queue
996,star_half
997,description
998,share
999,border_clear
1000,movie_filter
1001,flash_off
1002,grid_on
1003,brightness_auto
1004,live_tv
1005,query_builder
1006,king_bed
1007,voicemail
1008,alarm_add
1009,add_shopping_cart
1010,blur_circular
1011,do_not_disturb_alt
1012,local_bar
1013,pregnant_woman
1014,mood
1015,bluetooth_disabled
1016,wallpaper
1017,sync_disabled
1018,replay_5
1019,replay_30
1020,bar_chart
1021,near_me
1022,skip_previous
1023,keyboard
1024,person_pin
1025,featured_play_list
1026,filter_center_focus
1027,border_style
1028,shopping_basket
1029,format_textdirection_l_to_r
1030,loop
1031,location_off
1032,crop
1033,directions_boat
1034,sync
1035,format_indent_decrease
1036,border_right
1037,unarchive
1038,home_work
1039,sync_problem
1040,access_alarms
1041,table_chart
1042,time_to_leave
1043,network_cell
1044,fast_rewind
1045,home
1046,layers_clear
1047,cast_connected
1048,sports_golf
1049,switch_video
1050,class_
1051,stay_primary_landscape
1052,watch_later
1053,hdr_strong
1054,view_quilt
1055,tablet_android
1056,stop_screen_share
1057,filter_3
1058,satellite
1059,directions_car
1060,timelapse
1061,restore
1062,timeline
1063,card_membership
1064,palette
1065,toggle_off
1066,local_mall
1067,battery_charging_full
1068,exposure_plus_2
1069,airline_seat_legroom_reduced
1070,fiber_dvr
1071,tab_unselected
1072,format_italic
1073,bathtub
1074,photo_camera
1075,flight_takeoff
1076,insert_chart_outlined
1077,add_circle
1078,bookmark
1079,speaker_group
1080,local_parking
1081,help
1082,priority_high
1083,poll
1084,local_grocery_store
1085,mode_comment
1086,format_clear
1087,shopping_cart
1088,sports_handball
1089,group
1090,mouse
1091,brightness_5
1092,forward_10
